Id,question,answer
11,I want to know about the alternate exam that was avaiable for BDM in the curriculum,"That is towards the end. If you dont do the capstone project, you will have to take a proctored exam, in addition to the final exam.

Its towards the end of the course.

Best,
Ashwin"
12,@Ashwin_J Please let me know if I can go to nearby bank for a survey of my project as my cousin works there so I have acquaintances there. Can i do a survey there myself for some days and collect data from people coming to bank?  Can i keep customer satisfaction and services or accounts various people use as my attributes? Is it necessary to have sales and revenue as attributes?,"Yes, u can. 

But what is the problem you are trying to solve?

There needs to be a clarity on that.

Best,
Ashwin"
13,@Ashwin_J Sir I want to discuss something about capstone project personally. How can I contact you?,"Please write a mail to either or us

Ashwin - ashwin@study.iitm.ac.in"
14,"Hello sir,
Can we take an educational institute problem as a capstone project topic?","You can take if it solves a business problem. Could you elaborate on the problem?

Best,
Ashwin"
15,"Whether the capstone projects submitted by the previous batch students will be published for reference? Just a skeleton without data.
","Yes, this will be made available by Month end.

Besides we will have live interaction with previous batch students

Best,
Ashwin"
16,"It was informed that those students who are unable to get data on their own for Capstone Project, they will be provided with data from IITM team at the cost of reduction in marks. When will such data from the Team be available to the students.","No data will be provided. We have decided that all students should collect data on their own.

This will be updated shortly.

Best,
Ashwin"
17,"Hi,
I am identified a shop basically which sells multiple items in bulk. I have identified some problems in the business as from the discussion with the shop owner. @Ashwin_J Where can I send you the problem statement and discuss it further?

Regards,
Lalit Kumar",ashwin@study.iitm.ac.in
18,I think before the change in pattern was announced I think it was mentioned that for students who are not able to get data there will be a dataset provided. There was also a difference in grading pattern mentioned in the grading document. Is such a dataset still going to be provided ?,"No dataset will be provided by us and the students are expected to collect data on their own.

Best,
Ashwin"
19,"My specific problem is based on BDM capstone project.
How do I clean the unstructured data ? Will the course team provide any study  material related to it? How do i proceed with the data cleaning process? Could you recommend me any lectures or books related to it.?
@Ashwin_J sir please help.","In the reference book i have mentioned Paul Newbold, a book on stats

That or any advanced books can help you with it.

Douglas Montgomery is another classic book 

Also, you can get info on this by doing some browsing as well!

Best,
Ashwin"
20,"

My specific doubt is on the topic: Data Collection

My doubt is: Do we have to collect data from local businesses around us or we can find it onIine.

I have already talked with two business owners about their businesses and asked for data but they didnt maintain any concrete data files which can be provided.

so I need clarification regarding where to collect data from.","Could you pls clarify what do you mean by online?

If you are taking data sets directly from the online sources, it doesnt constitute to be a capstone project.

Best,
Ashwin"
21,"I'm trying very hard to form a Project Proposal but finding it very difficult as I have no idea what my approach should be and what it should look like. I have seen the pdf mailed to us and it mentions the requirements but still, I don't know how to start. Can we get a rough sample or something so we can get an idea?

 Also, I have reached out to a person who owns a wholesale business in surgical items. We had a discussion but he can't think of any such business problem that he's facing. As it's a wholesale business, it's both business to business and, business to consumer. After so many requests he finally agreed to provide me with the data of some of his items like how much of items were purchased, sold, or were in stock in a month (as it's a wholesale business, I have asked for the data of 6-7 months as we were suggested in the lectures), but I don't know how to figure out the business problem. Like what should I do? @Ashwin_J","In that case, look at his data, do some analysis and you may uncover a problem.

If that is difficult then you will have to look for alternate businesses.

We have already received 8 submissions which have followed the rubrics.

Keeo trying.

Best,
Ashwin"
22,"I have a question regarding BDM Capstone Project.

I am a working professional and it is not feasible for me to collect data from a business, interacting with people involved in business etc.

Is completing the BDM Capstone Project mandatory to get **Diploma certification in Data Science** ? Is there any other alternative ?

Thanks in advance.","
For capstone project, data collection is mandatory and all the working professionals in the previous batch have successfully completed it. There will be no short cuts on this process.

Best,
Ashwin"
23,"Hello sir, @Ashwin_J 
I want to clarify that we have to mention one or two problem objectives in the proposal?
In the live interactions, we are told for one, but in the rubrics document two is given. 
So, can you please clarify what number is it exactly or we can make sub-parts for one main objective?
Thank you!","You can make it in parts also.

Mentioned 2 as we could let u know what to do, if something goes wrong.

Best,
Ashwin"
24,In which format we upload the proposal? I already did it in power point. But when I want to upload it says not supported. please help me @Ashwin_J sir. Thanks,"You need upload a word or a pdf document and not in ppt. We have clarified this already.

Best,
Ashwin"
25,"My specific doubt is about BDM Project Proposal.

My doubt is: Do we need to put our name and roll number in the proposal report? Also, can we put pictures of the business in the report? Is there a specific format we are supposed to follow?","Hey,

Yes the report needs to have the name and roll number.

It will be good to have pics. More on formatting and other things, have been provided in detail in the rubrics.

Best,
Ashwin"
26,"@Ashwin_J sir can you please clarify for proof of originality of data (point number 2 in rubics) what we have to do for survey link .Is this the g form which we need to make and specify all the details.
![Screenshot_20220711-194307_Scanner Go|549x500](upload://sHuaKTNdlrwNvKaU9XP3FumUuNG.jpeg)


Thanks","We want some tangible proof 

Photos of orgn or a letter from business saying we provided data or any evidence.

This is to ensure that students dont cook up things on their own :slight_smile: 

Best,
Ashwin"
27,"Based on the business problem , do we have to do only descriptive Statistics or  any other type of statistics can also be done in Capstone Project ?
@Ashwin_J plz clarify","Hi Shubham,

Only descriptive wont suffice..

From the different case studies you have an idea, as to what can be done.

Use it as a base to build further.

Best,
Ashwin"
28,I am in talks with a company whose business  problem is that they are not able to  achieve sustainability development goals. will it be a suitable business problem for my project?@Ashwin_J please clarify,"Ya but i see data collection as a challenge.

How would you do it?

You can send a mail describing in detail

Ashwin@study.iitm.ac.in

Best,
Ashwin"
29,"Hi,

I just realized that the compressed file I uploaded yesterday has some alignment issues. Can we replace   existing proposal file with an updated one? (contents are the same, no change)","Hey,

That shouldnt be a problem

Best,
Ashwin"
30,"As the feedback for mid term is released now , but there is nowhere mention of rejection or approval of our mid term submission. @Ashwin_J . In my case , there is lot of mistakes pointed out , so , will i have to resend mid term submission or will i have to make corrections in upcoming submission.","Hari,

Make changes in the upcoming/ final submissions.

Best,
Ashwin"
31,"What is 'expected timeline' in point 8 of the rubrics for proposal? Is it the timeline of data collection or the timeline in which the data has been recorded?

PS: Just added random tags because I couldn't proceed without 2 tags","Hi Celine,

You can give both.

Best,
Ashwin"
32,is there anyone who can guide  me to prepare  bdm course project,"Pls see the videos and take the help of your peers. If you still have doubts, we can schedule u a meet with our TAs 1 on 1.

Best,
Ashwin"
33,"@Ashwin_J sir can you please explain what we are expected to do for the last point .It  talks about presentation so in this point we should not write anything.(presentation and legiablity of report).
![WhatsApp Image 2022-08-13 at 11.34.54 AM|664x500](upload://maCMVbZSujNQgRmDo9qbDLXB3qq.jpeg)","Hi,

I have observed that most students have not presented the report clearly and also there is no clarity when one moves from one section to next.

Movement to every section should be connected and there should be a flow. 

Best,
Ashwin"
34,Are we allowed to clean the data using Python?,"Yes.. u can use python

Best,
Ashwin"
35,"In the May 2022 term, I completed BDM theory. I want to know if I can do my BDM project in January 2023.","Yes u can. We have clarified this multiple times.

Best,
Ashwin"
36,"i had started working with a firm for my Business Data Management Capstone Project. I completed the proposal and it was accepted but now the company does not want to give data and is giving me new dates every now and then for data collection So do i have to again do the proposal part if i go for my project with another one? can i know the procedure for this?
@Ashwin_J sir please help ?","If its within the same company, no issues. If you are changing the company, then yes, you will have to give a new proposal.

Best,
Ashwin"
37,"Last date to fill this form is 30th Aug (pic 1)..But This date doesn't matches with any date provided in the document (pic2)..
![bdm|690x481](upload://2CQWu3O9HzWq1H7DXU3EFNC7C86.jpeg)



![d|617x500](upload://50Kx52f0rLiHyXapT2TbleSYcKQ.png)

Is the document not updated? If the date is being updated frequently, it would be better to have a web document rather than a pdf shared via email","While we strictly adhere to the deadlines, changes had to be made due to request from students. It would practically not be possible to keep updating rubrics once its been made.

We always make sure we communicate things reg submissions by mail. Since this is the first run of Capstone as a seperate course, output of this would be used to make improvements in subsequent terms.

Best,
Ashwin"
38,"
Sir, i had registered myself in may term for bdm and mad 1 courses and i have successfully  completed  the theory courses but i might not be able to complete the project in this term due to some circumstantial reasons
And academic too.
Sir, i am writing this mail in order to know whether i can register for these projects in next term so that i can supply the institution with good work or is this is needed to be completed in this term only.
Kindly solve my concern as soon as possible","No problem, do register in the next term

Best,
Ashwin"
39,I am unable to get the data for the capstone project. The vendors have rejected my request for data. How much marks will be reduced if I procure the data from IITM.,"We dont provide any data

Best,
Ashwin"
40,"@Ashwin_J  Sir,

My specific doubt is on the topic: About not being allowed to mention the details of the industry 

My doubt is: As mentioned in the above statement , I've got the data after 2 months . The condition on which they are giving me the data is that I should not reveal the name of the industry and should not mention anything about the industry anywhere . There wouldn't be any certificate or a proof given by the industry for the data given to me . But the project life cycle says that it needs proof , background of the industry (organization) , executive summary to be submitted in the proposal document and the midterm submission document . So I'm not getting what to do , could you help me out with this matter ?","Tejas,

We need some tangible proof. As such what you share with us wont be shared out.

U can blur things and show. But we will ask u a lot of questions, till we are v sure its not cooked up.

If you dont give us any proof, how can we believe you? Some evidence would be needed. Blur shop name, but business and other details u can always provide."
41,"Can someone please share any resources about the project. I have joined the course this term and the project is looking very complicated. Can we have access to some previous term projects so that we know what to do. I am going through the live sessions on youtube. Will there be any videos or live session for the project in this term ?

Thanks","If you have taken the course just now, no worries. We will have live sessions wherein we will explain and do a lot of handholding.

Don't worry the project is not complicated as perceived by you :slight_smile: 

Relax

Best,
Ashwin"
42,"@Ashwin_J Sir,
 I registered for BDM in May 2022 Term and now we're at the end of the third cycle of the BDM Project Proposal submission and after several failed attempts of data collection I am here with a humble request to help me with this part of the project.

Requesting to provide me the required data so that I can work further towards the completion of the project.

I even wrote about this issue to the support team to which they replied that they will be forwarding it to the concerned team but since then (6 days ago) I haven't  got any response.

Please look into it as soon as possible.","No, we dont provide the data. You can always do it next term.

Best,
Ashwin"
43,"I have got the data from a business, the problem is that there are two data tables. One with only unique items( name and no.) sold and its total value plus quantity between the range of selected dates, another with only dates and bill value (not including item name or number).

My doubt is, can i proceed with two tables separately?
merging is not an option here

@Ashwin_J sir please help","While you have collected business data, its not a capstone project.

You need to collect data pertaining to business problem. Mere collection of data is of no use and waste of your time and efforts.

Do visit the live sessions and see rubrics for better understanding.

Best,
Ashwin"
44,"Hello Sir, 
I had submitted the proposal in the month of July and was accepted then, but I couldn't submit the midterm submission at that time. Do I need to submit the proposal again in the September term or directly the midterm submission?

I have collected the data, cleaned it and I am not sure how many SKUs should I consider for my project. I have around 90+ SKUs in the data. Please help with that.

It would be really helpful if you could see the data and suggest any changes. 
@Ashwin_J","Dear Lalit, 

You can submit during the coming cycle. 

Rgds
Hari"
45,"Is it mandatory to have around 18-20 pages in the final submission?
I've explained everything in detail but I'm able to complete it in around 14-15 pages.
so can I submit it like this or do I have to reach 18 pages to meet the requirements?
@Ashwin_J","If you have explained everything its fine.

Best,
Ashwin"
46,"HI @Ashwin_J , 

During the live session it was mentioned that students would be given a formal letter with IIT Madras Letter heard and an Non Disclosure agreement which they can use to get the data. 

When can we obtain this letter as it would add some valid credentials and aid us in the data collection process. ( What is the procedure to obtain these documents?)

Thanks and Regards
Vikram","Hi,

Could you pls send me an email at 

Ashwin@study.iitm.ac.in 

Will make it available for all in 10-15 days time. Once avl, it can be downloaded from dashboards.

Best,
Ashwin"
47,"In proof of originality of data, you asked us to upload video of meeting with businessman.
Is it alright to send it in regional language (marathi), he also speak hindi, but not English.
Please advice.
@Ashwin_J","Yes works any language would do

Best,
Ashwin"
48,"I am trying to upload BDM Project Proposal for which deadline is tomorrow.
However while uploading I am getting error message ""Selected file <filename> is too large for upload), refer snapshot below:
![image|690x440](upload://oqBuX8TJHEHxZSfg4aXLsjXdR0t.png)
My file size is 1.5 MB.

Need urgent support as the deadline is tomorrow.

@Ashwin_J Can you please advise.","Its because your file size is large. It should be less than 1 MB. Compress it and upload again

Best,
Ashwin"
49,"Is it possible to use Paragraphs for some topics from the proposal of BDM Capstone project as it is, without triggering the plagiarism part or do we have to write it afresh?","You need to write everything afresh

Best,
Ashwin"
50,"I'm about to submit my Final Project Report but I just wanted to ask if the mentioned word count for ""Executive Summary"" is a min word criteria or a max word limit?
My Executive Summary has around 400 words. Do I need to edit it?","As long as your report is under total word limit, we dont have a problem

Best,
Ashwin"
51,"@Ashwin_J  Sir the data I am working on is information driven and the dataset is not that big. I am not able to make my final submission more than 15-16 pages. As you always ask us to strictly follow the rubrics, according to that the submission should be 18-20 pages. I just want to know if its ok to submit a report of 15-16 pages. I understand that the rubrics are important but my problem statements and dataset both are not that huge.","Thats ok with us. Go ahead

Best,
Ashwin"
52,"My mid term proposal has been rejected because name and roll number was not there. In mail it is asked to resubmit it.

Can I resubmit again my mid term proposal? or I have to do it all over again.","Its rejected.

This point has been clarified multiple times. You never make a submission without name and roll number. 

You will now have to start afresh from proposal in Nov cycle.

Best,
Ashwin"
53,"![image|690x357](upload://4fTQSlsQSzzIE83ygyL8ZNiaX6c.png)
For the mid term submission in Term 3 Cycle 1, any particular format/content that we should be following for the letter from organization for proof of originality of data?
For the Short video of interaction with the business person, do we have to explain to them the analysis we have done so far or is it to be short and only overall discussion of the problem statement with them or is it like question-answer format video meet?
Can you please share any specific pointers we need to keep in mind while creating the video @Ashwin_J
Thank you","There is no specific format, but if you can produce tangible evidence like letter from organization, videos, pictures credibility increases and you are awarded more marks.

W.r.t interviews the interaction could be on anything you deem to be fit. If you have more insights, then the owners are more welcoming and could end up giving you more information 

Best,
Ashwin"
54,"Hi, can I share the feedback here that I have recieved from BDM Project Course Team through mail for the midterm submission so that I can get some idea on how I can improve it and work on my project better before I do the final submission?

@Ashwin_J",Pls mail to ashwin@study.iitm.ac.in
55,"For Cycle 1 Final report submission, apart from the points mentioned in Rubrics, @Ashwin_J sir can you share some major common report mistakes observed by you till date, which should be avoided by students in this term/cycle. Thank you.","Usually students dont justify why they made certain graphs.

You  need to explain why is that/ what made you, for instance opt for box and whisker plot/ scatter plot etc.

The next thing is people dont label axis properly nor give headings. Its very important to tell the reader as to what the graph is.

Then explain what you see in graph, any deviation, variation, observation etc

And then give implications based on graphs 

Best,
Ashwin"
56,"I have few doubts.
1.Can I submit my proposal in December term and submit midterm in January cycle(if proposal is accepted in December) or do I have to start from proposal?

2.In midterm submission ,we have to submit the 3 minutes video. There is high possibility that the interaction with owner will be in some local language(It is possible that they are not comfortable in English).How to approach this problem?","Hi Shilpa,

Language is not a concern, we need proof that can be verified.

Since u belong to Sep term you can submit in any 4 cycles of the term. Refer rubrics for exact dates

Best,
Ashwin"
57,"Hi
I have 2 queries which I couldn't resolve even after watching the lives.

1) Can I put, say, 3 problem statements in my proposal but work only on 2 till the end of my project? Or is it that I'll have to work on all the problem statements that I mention in my proposal?

2) Say, I submit my proposal in C2, so, can I make my mid-term and final submissions in C3?","1. Yes u can. 

2. Submission is in phases. When proposal is accepted u can submit mid term, doesnt matter if its cycle 2,3..but make sure you submit by cycle 4

You can submit next stage only when prior stage is cleared. You cannot make submissions of 2 stages together

Best,
Ashwin"
58,"Hi

I am working on the data of a supermart firm and will be performing the analysis for them.

Now, my chosen firm has 3-4 competitors adjacent to them.

I might have to compare their prices for different products for all the competitors

So, it'll need manual data entry from the pamphlets of each store.

**My question is that** it was said that we need to work on 1 single firm's data, but can I perform this task where I manually enter prices of different products from different competitors?

**If yes,** can I use the competitors' names as X, Y, or Z? or do I have to use their true names?","Have received ur mail, will reply by EOD..

Best,
Ashwin"
59,"Hello @Ashwin_22  @Ashwin_J , I've spoken with a Government PHC(Primary Health Care Center) inside a university which is a small establishment and only caters the needs of the university employees and their families. However, all their records of medicines stock, patient details, prescribed test inside their lab and physiotherapy are maintained in a book and they don't have any automated workflow in place. I've spoken with the concerned authority and they agreed to share the data with me. 

Is it allowed if I collect this Govt. PHC data as part of my project proposal? I am skeptical as this isn't a profit making organization.","No Dheeraj, this cant be used for Capstone 

It should be a profit making business and you  need to collect data pertaining to business problem

Best,
Ashwin"
60,When and where do scores of BDM project cycle 4 will be released ??,"By end of Dec

Best,
Ashwin"
61,"Hi there,

My project proposal was accepted but my intermediate submission got rejected. I have following 2 doubts:
1. Am I eligible for final submissions in this cycle? If yes, I need atleast 3 days to finish my project and cannot submit by 20th December. If No, should I resubmit the project proposal in cycle 2?
2. The reason for my intermediate rejection was unclear, it said my project did not follow the rubrics but I followed the project guidelines document to the word. Is there any other document I must know about to get a clear understanding of the expectations.

Regards,
Neha Vaity","Neha,

Rejection will never be made just like that. You wouldn't have adhered to rubrics and that's why you have invited a rejection.

You can submit Mid-term in any 4 cycles and this point has been clarified multiple times, whether live sessions or the documents we sent. Clearly shows you haven't read it pply.

Best,
Ashwin"
62,What is meant by metadata and descriptive statistics as mentioned in the rubrics for mid term submission?,"Explained in live session. Kindly do some checks. A simple reading of book or check on google will give you an answer

Best,
Ashwin"
63,"Dear Ashwin sir/Hari Sir @Ashwin_J 
Since I have completed my project course with a good grade, I am getting requests from fellow students to discuss approach, give ideas, etc. In such a case, am I allowed to discuss my project and give ideas to them as I am already graded?
Regards","Yes Arya go ahead and discuss,  but do not share your document

Best,
Ashwin"
64,I had completed BDM in May 2023 term. Now what is the procedure to do the project and how do I register?,"Pls contact @IITM_Online_degree for queries related to registration 

Best,
Ashwin"
65,"Dear @Ashwin_J  sir, 

I know the deadlines were communicated long ago and is very clear mentioned in all rubrics and live sessions but could we get an extension on the MIDTERM SUBMISSION given the HOLIDAY SEASON and vacations ? Somehow it seems none of these were taken in to account while determining the deadlines, again just an observation and a humble request .

Please consider this .

![image|564x500](upload://gajlatnn3BZfUDBFd3xBgJwSWKk.png)","@vikramjncasr :slight_smile: 

While i love to give extensions, it creates a domino effect. Tbh a student just submitted his proposal and i got the mail next moment to give his scores :smiley: 

Write to me ashwin@onlinedegree.iitm.ac.in and i will see what can be done. Reason for extension and the work done by you till now

Btw i vividly remember u even asking an extension for proposal if I am not wrong 😉

Best,
Ashwin J. Baliga, PhD"
66,"Respected Sir @Ashwin_J,
There are incorrect marks given for Mid Term Submission are '0'.
Please advise whether the marks can be 0. I have passed all submissions, I can provide an email. 
![Screenshot (218)|690x372](upload://eVbgen59wAGKwxFpGpIUZPXMi29.png)","@shrigulhane100 cant be the case. Pls send me a mail to ashwin@onlinedegree.IITM.ac.in and I will get it sorted out. Attach ur mid term report too

Best,
Ashwin"
67,"@Ashwin_J Sir I have completed the BDM Capstone Project in Sept 2022 term. I got the marks for all individual submissions. I really feel there is some miscalculation of marks in my midterm submission. Can you please help me in this. 
I am attaching the screenshot of the marks obtained. 
![BDM Project Marks|690x341](upload://bcgZ1duBiVtZlWEBACbvbMnv05B.png)","@Aaditya_Inamdar i had a look and there is no miscalculation and the score is indeed right.

We had 2 cases of errors where they got a zero but it was a technical error. In this case, you didnt adhere to rubrics and thats why the score.

We grade everything out of 100 and then scale it down to 20

Best,
Ashwin J. Baliga, Ph.D"
68,"Hi @Ashwin_J/ @ashwinr_11, I am a lateral entry diploma student, a working professional. I had registered for BDM course and project in Sep 22 term. I successfully completed the BDM course in Dec22, however did not get time to look into the project. 

At the time of registration in Sep22, there was no timeline stipulated for project completion. Given office pressures, I am uncertain if I shall be able to complete the project in April23, though I will try my best. 

Incase am unable to finish the project, would I be allowed to complete it in May 23 term with/ without a new registration & payment of fees. Had I been aware of the strict time stipulation on completion of the project, I would have planned accordingly. Request some consideration for working professionals who registered for the project prior to the new guidelines.","Hi,

We have new term coming in Jan..submissions for the same open in Feb and there is time till July..if u r quick you can also finish in 3-4 months.

We dont have discounts for working professionals. The degree doesnt differentiate between working professionals and others. We all r students for life.
Reg new timelines am not aware and let me check n get back when i have information 

And yes u can register in May term also

Best,
Ashwin J. Baliga, Ph.D"
69,"I have literally met and had a talk with almost all the local business concerns in my area but no one is willing to share data or provide any assistance with regards to the capstone. In fact, the most surprising fact was 99% of them haven't even heard of IITM. Maximum of them said that they have no interest in any such things. 


I am really worried on what to do? How would I complete the project?","You just have to keep trying, try reaching other geographic segments. It also depends on the manner in which you negotiate. That’s why the project has a 6 months duration 

Ppl didn’t hear of IIT M, what do I say about it!?

Best,
Ashwin J. Baliga, PhD"
70,"Dear Sir, 

As per rubrics, the proposal submission for the Jan term starts on 16-Feb.
So if I want to submit my proposal on 20th Jan, I should click on option 1. Could you please confirm?
![image|632x351](upload://5BbPPOZmbEWlGLG7JNrIyaI4Du1.png)
![image|424x139](upload://onGblIoKXSZcFcJa9JeCOcHvKbR.png)","Check Sep term rubrics for proposal submission dates. If it is ok for you then Sep, else it’s Jan 

Best,
Ashwin J. Baliga, PhD"
71,"Hi @Ashwin_J Sir,
Sir with all due respect i wanted to suggest some changes in the bdm sept project lifecycle.

Sir I had submitted my project proposal as per September term rubrics Cycle-2.
The link to which is attached.
https://docs.google.com/document/u/2/d/e/2PACX-1vSzrzpArvyOt6Ytcctnl2EyEWnwijWQh33pFSfOZ8eRLqNnCNx5A5cUknV3tHGlaBIpQYi_IPvZKgd2/pub

We got the results for it and my proposal got accepted.
I got some valuable feedback and few things which will surely help me in my mid term as well as final submissions.

Sir I just wanted to say there were two feedback that I got, If they are added to our proposal lifecycle it will help cycle3 and cycle 4 students.

Firstly There is a mention of No ""gantt chart and wbs"" in timeline.
Sir, there is no mention of these in our timeline and i just checked jan term guidelines and it is there.

Secondly, I was advised to add graphs in PSA(Problem solving Approach) part of proposal, again it was  not mentioned there so i did not add it. (Like in mid term it is written there specifically.)
 
I request you sir please update the september term rubrics so as others students in September term might not face such issues and lose out on marks .","Thanks for your mail.

Kindly check the word document sent to you and the live sessions (Nov 11th to be precise). We have clearly mentioned it there. Rubrics gives you what content needs to be there and nothing else. You can check any standard documents. The format remains the same

Link: https://www.youtube.com/watch?v=CKd8uhiEgaQ&t=5208s

Check 53 mins onwards. Kindly check things properly.

Best,
Ashwin J. Baliga, PhD"
72,Sir @Ashwin_J  The gform for mid term submission has not been released yet. Has the date been extended for submission? ?Haven't got any mail also regarding project.,"One of the office staff is on leave. I will follow up. Besides they need to send proposal results first. Thanks for letting me know

Best,
Ashwin J. Baliga, PhD"
73,"I gave my Viva on **13th Jan 2023**, as part of Cycle 1 (Final Submission on 20th Dec). However,  I have not received any mail about my scores in Proposal/Mid/Final/Viva Submission(s) yet.

It usually took <10 days for the previous submissions to get a feedback mail.
Would it be possible to get an ETA of when this might be released for the Cycle 1 students?

PS: Asking this because I will be showcasing my BDM Project for an internship I'll be applying... So grades might be helpful for the same...

Looking forward to a positive reply,
Ashwin Hebbar (21f1003155)","We have a tech glitch and this has impacted all our jobs.

Pls wait for a min of 2 weeks as that’s not our priority for now

Best,
Ashwin J. Baliga, PhD"
74,"I have enrolled for BDM project in Sept 2022 term. I have requested a lot of businesses around me for providing access to their data but to no use. I kindly request you to provide access to a dataset so that I can progress in the degree. I am ready to accept a penalty in my grade for the project. Please help.

Thank you,
Nikhil.","We don’t provide data and u need to collect on ur own. Join the closed live session for doubt clearing and Dr. Aaditya will brief u there

Best,
Ashwin"
75,"Hi ,

I have Query that Can I use Microsoft PowerPoint for making presentation?

and also Can I use MS PowerPoint for presenting during viva?


Thanks & Regards,

Suraj Phalswal","Yes go ahead with the PowerPoint and limit to 10 slides all inclusive.

You can keep additional things with you and show if the examiner asks for it

Best,
Ashwin J. Baliga, PhD"
76,"@Ashwin_J sir,
I want to know if we can analyze weekly sales data instead of daily basis and it is of 10-11 months.","As long as there is a business problem and this data helps you address it

Best,
Ashwin J. Baliga, Ph.D"
77,"Dear team,

Is the submission of video and certificate compulsory in mid term submission since the organization that I have chosen is very small scale so it won't be possible to arrange a certificate and since the owner can't speak in English.

Thanks","Harshita 

The owner can speak in any language. English is not needed and we r perfectly fine with it

Best,
Ashwin J. Baliga, PhD"
